average_reward,loss,learning_rate,buffer_size,epoch
-3.8168131510416665,120.40885925292969,0.0001,31843,0
-4.4293212890625,133.96530151367188,0.0001,34843,1
-5.1002197265625,164.99769592285156,0.0001,37843,2
-5.490885416666667,155.890625,0.0001,40843,3
-5.634806315104167,159.36651611328125,0.0001,43843,4
-6.0679931640625,165.16107177734375,0.0001,46843,5
-6.296712239583333,169.53611755371094,0.0001,49843,6
-6.089680989583333,156.67874145507812,0.0001,52843,7
-6.257364908854167,165.10794067382812,0.0001,55843,8
-6.121297200520833,163.5985870361328,0.0001,58843,9
-6.0220947265625,147.13613891601562,0.0001,61843,10
-6.181599934895833,158.968017578125,0.0001,64843,11
-6.290934244791667,151.63555908203125,0.0001,67843,12
-6.5543212890625,155.47068786621094,0.0001,70843,13
-6.638346354166667,154.3087158203125,0.0001,73843,14
-6.659261067708333,153.21112060546875,0.0001,76843,15
-6.597900390625,151.05563354492188,0.0001,79843,16
-6.642496744791667,146.32261657714844,0.0001,82843,17
-6.76708984375,149.91368103027344,0.0001,85843,18
-6.898396809895833,148.62196350097656,0.0001,88843,19
-6.7421875,146.23536682128906,0.0001,91843,20
-7.1693115234375,146.254150390625,0.0001,94843,21
-7.070760091145833,142.96322631835938,0.0001,97843,22
-6.9761962890625,141.0610809326172,0.0001,100843,23
-6.895426432291667,136.90618896484375,0.0001,103843,24
-7.032552083333333,132.94778442382812,0.0001,106843,25
-7.089762369791667,128.66043090820312,0.0001,109843,26
-7.281087239583333,132.580322265625,0.0001,112843,27
-7.332763671875,125.69863891601562,0.0001,115843,28
-6.972086588541667,121.59028625488281,0.0001,118843,29
-7.159749348958333,120.9522933959961,0.0001,121843,30
-7.079142252604167,123.46240234375,0.0001,124843,31
-7.004720052083333,123.01870727539062,0.0001,127843,32
-7.200032552083333,120.41619110107422,0.0001,130843,33
-6.9805908203125,116.1068115234375,0.0001,133843,34
-7.2305908203125,120.55961608886719,0.0001,136843,35
-7.090006510416667,113.63203430175781,0.0001,139843,36
-6.996744791666667,112.23054504394531,0.0001,142843,37
-7.04052734375,108.48863220214844,0.0001,145843,38
-7.1153564453125,111.65615844726562,0.0001,148843,39
-7.109822591145833,110.310791015625,0.0001,151843,40
-7.143391927083333,106.88671112060547,0.0001,154843,41
-6.841959635416667,107.67936706542969,0.0001,157843,42
-7.074381510416667,102.90511322021484,0.0001,160843,43
-7.0428466796875,105.4259262084961,0.0001,163843,44
-7.031453450520833,96.86998748779297,0.0001,166843,45
-6.952351888020833,96.52457427978516,0.0001,169843,46
-7.025472005208333,100.55470275878906,0.0001,172843,47
-7.124267578125,92.80036163330078,0.0001,175843,48
-6.776123046875,92.90057373046875,0.0001,178843,49
-6.866658528645833,88.71110534667969,0.0001,181843,50
-6.964314778645833,90.49263000488281,0.0001,184843,51
-6.841878255208333,90.2047119140625,0.0001,187843,52
-6.957560221354167,91.45948028564453,0.0001,190843,53
-6.945149739583333,87.0190658569336,0.0001,193843,54
-6.9688720703125,85.93038940429688,0.0001,196843,55
-7.0576171875,80.84471130371094,0.0001,199843,56
-6.7476806640625,84.76034545898438,0.0001,202843,57
-6.769205729166667,85.8101577758789,0.0001,205843,58
-6.69873046875,77.94495391845703,0.0001,208843,59
-6.7265625,76.17393493652344,0.0001,211843,60
-6.838541666666667,77.89277648925781,0.0001,214843,61
-6.856119791666667,78.8336410522461,0.0001,217843,62
-6.941324869791667,77.32862091064453,0.0001,220843,63
-6.4080810546875,74.37975311279297,0.0001,223843,64
-6.813883463541667,75.48098754882812,0.0001,226843,65
-6.8316650390625,68.34069061279297,0.0001,229843,66
-6.721516927083333,73.23672485351562,0.0001,232843,67
-6.7454833984375,70.10447692871094,0.0001,235843,68
-7.022013346354167,72.19620513916016,0.0001,238843,69
-6.86865234375,72.19942474365234,0.0001,241843,70
-6.698038736979167,68.45042419433594,0.0001,244843,71
-6.711140950520833,68.1766128540039,0.0001,247843,72
-6.656331380208333,68.45655822753906,0.0001,250843,73
-6.654744466145833,64.24583435058594,0.0001,253843,74
-6.659138997395833,66.68858337402344,0.0001,256843,75
-6.448567708333333,59.936832427978516,0.0001,259843,76
-6.521484375,62.991607666015625,0.0001,262843,77
-6.5189208984375,61.37401580810547,0.0001,265843,78
-6.481730143229167,59.913814544677734,0.0001,268843,79
-6.576619466145833,60.713829040527344,0.0001,271843,80
-6.5201416015625,58.60466384887695,0.0001,274843,81
-6.4180908203125,57.309471130371094,0.0001,277843,82
-6.448567708333333,52.918678283691406,0.0001,280843,83
-6.73876953125,58.22673797607422,0.0001,283843,84
-6.556355794270833,56.85790252685547,0.0001,286843,85
-6.523518880208333,54.08003234863281,0.0001,289843,86
-6.3399658203125,53.01056671142578,0.0001,292843,87
-6.654134114583333,53.831077575683594,0.0001,295843,88
-6.623453776041667,54.28245162963867,0.0001,298843,89
-6.32177734375,52.757972717285156,0.0001,301843,90
-6.64404296875,49.93293380737305,0.0001,304843,91
-6.304850260416667,49.13018798828125,0.0001,307843,92
-6.343505859375,50.71377944946289,0.0001,310843,93
-6.402180989583333,48.49753189086914,0.0001,313843,94
-6.5101318359375,46.64826202392578,0.0001,316843,95
-6.2545166015625,43.64879608154297,0.0001,319843,96
-6.322062174479167,44.234127044677734,0.0001,322843,97
-6.339518229166667,44.31732177734375,0.0001,325843,98
-6.236002604166667,44.74925994873047,0.0001,328843,99
-6.0909423828125,46.7523193359375,0.0001,331843,100
-6.088785807291667,44.25701904296875,9e-05,334843,101
-6.0791015625,43.234134674072266,9e-05,337843,102
-6.344482421875,44.3201904296875,9e-05,340843,103
-6.16357421875,44.1641845703125,9e-05,343843,104
-6.386637369791667,45.28687286376953,9e-05,346843,105
-6.48828125,45.85273742675781,9e-05,349843,106
-6.236775716145833,43.08332061767578,9e-05,352843,107
