td_error,loss,average_reward,learning_rate,buffer_size,epoch
3.1983833,9.1876859664917,0.5794270833333334,0.001,32041,0
3.579917,10.530616760253906,0.5580240885416666,0.001,35041,1
3.7519374,11.334327697753906,0.6311442057291666,0.001,38041,2
3.8734899,11.918083190917969,0.6851399739583334,0.001,41041,3
4.0937185,12.38261890411377,0.7520751953125,0.001,44041,4
4.1065345,12.673578262329102,0.88623046875,0.001,47041,5
4.244822,13.61116886138916,1.0472819010416667,0.001,50041,6
4.2232294,12.905923843383789,1.2080891927083333,0.001,53041,7
4.4670773,14.757366180419922,1.3651529947916667,0.001,56041,8
4.489311,15.459747314453125,1.4124348958333333,0.001,59041,9
4.645196,15.609935760498047,1.5767415364583333,0.001,62041,10
4.680369,16.321697235107422,1.58349609375,0.001,65041,11
4.660137,15.308931350708008,1.7780354817708333,0.001,68041,12
4.799467,16.400009155273438,1.8223470052083333,0.001,71041,13
4.7359657,15.73379898071289,1.8745524088541667,0.001,74041,14
4.827075,16.562393188476562,1.8951822916666667,0.001,77041,15
4.8726673,16.758317947387695,1.9554850260416667,0.001,80041,16
5.082308,18.176563262939453,2.03271484375,0.001,83041,17
4.773262,14.74426555633545,2.0377604166666665,0.001,86041,18
4.9969816,15.939398765563965,2.1156005859375,0.001,89041,19
4.8578115,15.28059196472168,2.1839192708333335,0.001,92041,20
5.101292,16.470144271850586,2.1477864583333335,0.001,95041,21
5.02383,15.130769729614258,2.1658121744791665,0.001,98041,22
5.0008664,15.264162063598633,2.2395426432291665,0.001,101041,23
5.061658,15.670076370239258,2.3116455078125,0.001,104041,24
5.127484,16.37547492980957,2.4250081380208335,0.001,107041,25
5.071602,15.318982124328613,2.3875732421875,0.001,110041,26
5.0118976,14.357089042663574,2.4517008463541665,0.001,113041,27
5.1715326,15.73489761352539,2.557373046875,0.001,116041,28
5.3389254,17.102378845214844,2.5681966145833335,0.001,119041,29
5.0949154,15.087053298950195,2.583251953125,0.001,122041,30
5.185231,15.30594253540039,2.5275065104166665,0.001,125041,31
5.1681747,14.559885025024414,2.6629231770833335,0.001,128041,32
5.284709,15.158781051635742,2.7248128255208335,0.001,131041,33
5.359906,16.00273895263672,2.721435546875,0.001,134041,34
5.2566442,14.987743377685547,2.7270100911458335,0.001,137041,35
5.2279267,14.792619705200195,2.79443359375,0.001,140041,36
5.459208,14.955537796020508,2.901611328125,0.001,143041,37
5.190752,14.161676406860352,2.9329427083333335,0.001,146041,38
5.3401403,14.936911582946777,2.9427490234375,0.001,149041,39
5.328936,14.455656051635742,2.9592692057291665,0.001,152041,40
